PATSY'S HOUSE DAY CARE & LEARNING CENTER      SALEM       NH
THE ARK CHRISTIAN NURSERY AND LEARNING CENTER      TILTON       NH
CLAREMONT MIDDLE SCHOOL      CLAREMONT       NH
BOYS & GIRLS CLUB OF CENTRAL NEW HAMPSHIRE - BRADLEY STREET UNIT      CONCORD       NH
STE.  MARIE CHILD CARE CENTER      MANCHESTER       NH
HOLDERNESS SCHOOL      PLYMOUTH       NH
EASTER SEALS - ZACHARY ROAD      MANCHESTER       NH
BLUFF SCHOOL      CLAREMONT       NH
NORTHERN SHORES DAY CARE      TILTON       NH
BRIGHT STARS LEARNING      WEARE       NH
HOME AWAY FROM HOME      WALPOLE       NH
CLARK-WILKINS SCHOOL      AMHERST       NH
RYE COUNTRY DAY SCHOOL      RYE       NH
MILDRED C. LAKEWAY SCHOOL      LITTLETON       NH
FAIRGROUNDS ELEMENTARY SCHOOL      NASHUA       NH
FRANCESTOWN ELEMENTARY SCHOOL      FRANCESTOWN       NH
FAIRGROUNDS MIDDLE SCHOOL      NASHUA       NH
WEBSTER ELEMENTARY SCHOOL      WEBSTER       NH
THE BIRCHES ACADEMY OF ACADEMICS - ART A PUBLIC CHARTER SCH      SALEM       NH
WESTMORELAND SCHOOL      WESTMORELAND       NH
MARY C. DONDERO ELEMENTARY SCHOOL      PORTSMOUTH       NH
SUNFLOWER CHILD CARE      CLAREMONT       NH
COZY KIDS CHILD CARE      LONDONDERRY       NH
THE FOUNDERS ACADEMY CHARTER SCHOOL (H)      MANCHESTER       NH
PROFILE JUNIOR HIGH SCHOOL      BETHLEHEM       NH
HINSDALE HIGH SCHOOL      HINSDALE       NH
GROVETON ELEMENTARY SCHOOL      NORTHUMBERLAND       NH
MOUNTAIN VALLEY TREATMENT CENTER      HAVERHILL       NH
HOLDERNESS CENTRAL SCHOOL      HOLDERNESS       NH
ACWORTH ELEMENTARY SCHOOL      ACWORTH       NH
LANCASTER ELEMENTARY SCHOOL      LANCASTER       NH
ALMOST ANGELS PRESCHOOL      NASHUA       NH
SOUTHWESTERN COMMUNITY SERVICES - CLAREMONT HEADSTART      CLAREMONT       NH
DR. L. F. SOULE SCHOOL      SALEM       NH
VILAS ELEMENTARY SCHOOL      ALSTEAD       NH
COLEBROOK HEAD START      COLEBROOK       NH
BISHOP BRADY HIGH SCHOOL      CONCORD       NH
A. CROSBY KENNETT MIDDLE SCHOOL      CONWAY       NH
THE PERFECT PLACE FOR CHILDREN      PELHAM       NH
MARSTON ELEMENTARY / SP EDUCATION      BERLIN       NH
SPAULDING YOUTH CENTER      NORTHFIELD       NH
THE LEARNING PATH OF SALEM      SALEM       NH
KIDS INN      AMHERST       NH
FULLER ELEMENTARY SCHOOL      KEENE       NH
MAPLE AVENUE SCHOOL      GOFFSTOWN       NH
EASTER SEALS NH CHILD DEVELOPMENT & FAMILY RESOURCE CENTER      MANCHESTER       NH
COMMUNITY KIDS: PRESCHOOL AND CHILD CARE      TAMWORTH       NH
PEMBROKE HILL SCHOOL      PEMBROKE       NH
BARNYARD BUDDIES      FREMONT       NH
BUZY BEEZ CHILD CARE CENTER      BARNSTEAD       NH
SMILING FACES DAY CARE      CLAREMONT       NH
FARMINGTON CHILDREN'S CENTER      FARMINGTON       NH
FRIENDS-N-FUN      MARLBOROUGH       NH
MOULTONBOROUGH ACADEMY      MOULTONBOROUGH       NH
WEE CARE LEARNING CENTER      WINDHAM       NH
LEMPSTER COMMUNITY SCHOOL      LEMPSTER       NH
NASHUA CHILD LEARNING CENTER      NASHUA       NH
SOUTH HAMPTON BARNARD SCHOOL      SOUTH HAMPTON       NH
THE BEECH HILL SCHOOL      HOPKINTON       NH
SANDWICH CENTRAL SCHOOL      SANDWICH       NH
AUBURN VILLAGE SCHOOL      AUBURN       NH
PELHAM ELEMENTARY SCHOOL      PELHAM       NH
ANTRIM ELEMENTARY SCHOOL      ANTRIM       NH
LAKES REGION CHILD CARE SERVICES - ELM STREET BEFORE AND AFT      BELMONT       NH
BROKEN GROUND SCHOOL      CONCORD       NH
BROADWAY LEARNING ACADEMY      DERRY       NH
OYSTER RIVER HIGH SCHOOL      DURHAM       NH
MILL FALLS CHARTER SCHOOL      MANCHESTER       NH
GREEN ACRES SCHOOL      MANCHESTER       NH
DOVER CHILDREN'S HOME      DOVER       NH
CAPTAIN SAMUEL DOUGLASS ACADEMY      BROOKLINE       NH
WOLFEBORO AREA CHILDREN'S CENTER      WOLFEBORO       NH
DOVER SENIOR HIGH SCHOOL      DOVER       NH
LITTLE SPROUTS CHILDREN'S CENTER      BOW       NH
LYME AFTER SCHOOL PROGRAM      LYME       NH
WHITEFIELD HEAD START      WHITEFIELD       NH
THE CORNERSTONE SCHOOL      STRATHAM       NH
HOOKSETT MEMORIAL SCHOOL      HOOKSETT       NH
PACE CAREER ACADEMY CHARTER SCHOOL      ALLENSTOWN       NH
COMMUNITY CHURCH OF ALTON AFTER SCHOOL PROGRAM      ALTON       NH
MONROE CONSOLIDATED SCHOOL      MONROE       NH
DR. GEORGE S. EMERSON ELEMENTARY SCHOOL      FITZWILLIAM       NH
ST. AUGUSTIN PRESCHOOL      MANCHESTER       NH
MASCOMA VALLEY REGIONAL HIGH SCHOOL      CANAAN       NH
NASHUA HIGH SCHOOL NORTH      NASHUA       NH
WEEPING WILLOW DAY CARE CENTER      TILTON       NH
KEENE MIDDLE SCHOOL      KEENE       NH
UNIVERSITY HEIGHTS LEARNING CENTER      HOOKSETT       NH
CHILD LIFE CHILD CARE CENTER      NASHUA       NH
KIMBA'S KIDS      PELHAM       NH
CARLA'S FAMILY DAY CARE      MERRIMACK       NH
KINDERCARE LEARNING CENTER      LONDONDERRY       NH
CONCORD FAMILY YMCA SCHOOL AGE PROGRAM -CONCORD WARREN ST      CONCORD       NH
MT. LEBANON SCHOOL      LEBANON       NH
NELLIE'S TREEHOUSE      AMHERST       NH
NEWINGTON PUBLIC SCHOOL      NEWINGTON       NH
GOFFSTOWN CREATIVE KIDS ACADEMY      GOFFSTOWN       NH
LACONIA MIDDLE SCHOOL      LACONIA       NH
TILTON SCHOOL      TILTON       NH
DR. NORMAN W. CRISP SCHOOL      NASHUA       NH
MCDONOUGH SCHOOL      MANCHESTER       NH
PLYMOUTH AREA HEADSTART      PLYMOUTH       NH
BEDFORD MARTIAL ARTS ACADEMY      BEDFORD       NH
BEAVER MEADOW SCHOOL      CONCORD       NH
WESTON SCHOOL      MANCHESTER       NH
BOYS & GIRLS CLUB OF CENTRAL NEW HAMPSHIRE - SUNCOOK UNIT      ALLENSTOWN       NH
SOUTHERN NEW HAMPSHIRE SERVICES RAYMOND HEAD START      RAYMOND       NH
SEABROOK ELEMENTARY SCHOOL      SEABROOK       NH
NORTH LONDONDERRY ELEMENTARY SCHOOL      LONDONDERRY       NH
BAKERSVILLE SCHOOL      MANCHESTER       NH
ST. PATRICK ACADEMY      PORTSMOUTH       NH
NORTHWEST ELEMENTARY SCHOOL      MANCHESTER       NH
PIONEER JUNIOR ACADEMY      WESTMORELAND       NH
CONWAY HEAD START      CONWAY       NH
KIDS CLUB      JAFFREY       NH
PLACES YOU'LL GROW      HOOKSETT       NH
COUNTRY KIDS DAYCARE      MIDDLETON       NH
CHARLOTTE AVE ELEMENTARY SCHOOL      NASHUA       NH
WINDHAM WOODS SCHOOL      WINDHAM       NH
REEDS FERRY SCHOOL      MERRIMACK       NH
WINNISQUAM REGIONAL MIDDLE SCHOOL      TILTON       NH
WARREN VILLAGE SCHOOL      WARREN       NH
JOSIAH BARTLETT ELEMENTARY SCHOOL      BARTLETT       NH
YENI'S DAY CARE      NASHUA       NH
VERMONT PERMANENCY INITIATIVE - BECKET HOUSE AT CAMPTON AND       CAMPTON       NH
SANDOWN CENTRAL SCHOOL      SANDOWN       NH
PHILLIPS EXETER ACADEMY      EXETER       NH
JENNIE D. BLAKE SCHOOL      HILL       NH
BEDFORD VILLAGE MORNING SCHOOL      BEDFORD       NH
EPPING ELEMENTARY SCHOOL, SAU OFFICE, AND PRESCHOOL      EPPING       NH
EDWARD FENN SCHOOL      GORHAM       NH
THE GODDARD SCHOOL      DERRY       NH
ACADEMY FOR SCIENCE AND DESIGN CHARTER (M)      NASHUA       NH
HERONFIELD ACADEMY      HAMPTON FALLS       NH
BOYS & GIRLS CLUB OF CENTRAL NEW HAMPSHIRE - LAKES REGION UNIT      LACONIA       NH
MAST WAY SCHOOL      LEE       NH
MCCLELLAND SCHOOL      ROCHESTER       NH
MARY'S CHILD CARE      GILFORD       NH
KIDDIE KONNECTION      HUDSON       NH
WISE OWL PRESCHOOL      NASHUA       NH
BREWSTER ACADEMY      WOLFEBORO       NH
KEARSARGE REG. ELEM. SCHOOL AT NEW LONDON      NEW LONDON       NH
SMYTH ROAD SCHOOL      MANCHESTER       NH
WONDER YEARS LEARNING CENTER      DERRY       NH
GATE CITY CHARTER SCHOOL FOR THE ARTS      MERRIMACK       NH
TOWLE ELEMENTARYSCHOOL      NEWPORT       NH
SALEM BOYS AND GIRLS CLUB PRESCHOOL      SALEM       NH
SOMERSWORTH HIGH SCHOOL      SOMERSWORTH       NH
THE EARLY LEARNING CENTER AT TEMPLE ISRAEL      PORTSMOUTH       NH
KID'S CULTURE      SOMERSWORTH       NH
COMMUNITY CHURCH OF ALTON JOYFUL FOOTSTEPS PRESCHOOL      ALTON       NH
STRAFFORD YMCA EARLY LEARNING CENTER AND SOP      ROCHESTER       NH
HINSDALE MIDDLE HIGH SCHOOL      HINSDALE       NH
VALLEY VIEW COMMUNITY SCHOOL      FARMINGTON       NH
OLIVERIAN SCHOOL      HAVERHILL       NH
CITY OF FRANKLIN-PARKS & RECREATION      FRANKLIN       NH
BERLIN HEAD START      BERLIN       NH
LANCASTER PLAY AND LEARN CENTER      LANCASTER       NH
HALLSVILLE SCHOOL      MANCHESTER       NH
THE LEARNING TREE EARLY EDUCATION CENTER      LONDONDERRY       NH
MILTON ELEMENTARY SCHOOL      MILTON       NH
MANCHESTER MEMORIAL HIGH SCHOOL      MANCHESTER       NH
YESS - YOUTH ENRICHMENT FOR STUDENT SUCCESS      WINDHAM       NH
WOODSVILLE HEAD START      HAVERHILL       NH
MERRIMACK YMCA CHILD CARE      MERRIMACK       NH
GORHAM HIGH SCHOOL      GORHAM       NH
LISBON REGIONAL SCHOOL (HIGH)      LISBON       NH
NASHUA CHILDRENS HOME      NASHUA       NH
TEMPLE ELEMENTARY SCHOOL      TEMPLE       NH
KENSINGTON ELEMENTARY SCHOOL      KENSINGTON       NH
DISNARD ELEMENTARY SCHOOL      CLAREMONT       NH
INTER-LAKES HIGH SCHOOL      MEREDITH       NH
WALPOLE PRIMARY SCHOOL      WALPOLE       NH
THE MONTESSORI SCHOOL OF EXETER      EXETER       NH
HEAD START AT MCC      MANCHESTER       NH
ROBIN'S CHILDS PLACE      HAMPTON FALLS       NH
EARLY START LEARNING ACADEMY AND CHILD CARE      HUDSON       NH
WEARE WE GROW CHILDCARE      WEARE       NH
LITTLE HARBOUR SCHOOL      PORTSMOUTH       NH
SOUTHERN NEW HAMPSHIRE SERVICES - HAMPTON HEAD START      HAMPTON       NH
MILAN VILLAGE ELEMENTARY SCHOOL      MILAN       NH
LOVING LAMBS & KINDER KIDS      GOFFSTOWN       NH
MARLBOROUGH ELEMENTARY SCHOOL      MARLBOROUGH       NH
NEWTON LEARNING CENTER      NEWTON       NH
SOUTHWESTERN COMMUNITY SERVICES - SWANZEY HEAD START      SWANZEY       NH
DISCOVERY VILLAGE EARLY LEARNING CENTER      CONCORD       NH
EDGEWOOD EARLY LEARNING CENTRE      PORTSMOUTH       NH
SOUTHERN NH SERVICES - 11TH STREET HEAD START      NASHUA       NH
CHARLESTOWN PRIMARY SCHOOL      CHARLESTOWN       NH
LITTLE APPLES DAY CARE & LEARNING CENTER      HOOKSETT       NH
BRISTOL ELEMENTARY SCHOOL      BRISTOL       NH
MONADNOCK WALDORF SCHOOL      KEENE       NH
LEARNING SKILLS ACADEMY      RYE       NH
MELISSA TODT'S FAMILY DAY CARE      SALEM       NH
THE GROWING YEARS      MANCHESTER       NH
HENNIKER COMMUNITY SCHOOL      HENNIKER       NH
A PLACE TO GROW      BRENTWOOD       NH
KINDERCARE LEARNING CENTER      MERRIMACK       NH
BUSY BEES CHILD CARE CENTER      PLAINFIELD       NH
NEW DURHAM ELEMENTARY SCHOOL      NEW DURHAM       NH
GOFFSTOWN HIGH SCHOOL      GOFFSTOWN       NH
JAFFREY GRADE SCHOOL      JAFFREY       NH
MAKING COMMUNITY CONNECTIONS CHARTER SCHOOL (M)      MANCHESTER       NH
SOUTHSIDE MIDDLE SCHOOL      MANCHESTER       NH
GROWING IMAGINATIONS EARLY LEARNING CENTER      MILFORD       NH
HIGHBRIDGE HILL ELEMENTARY SCHOOL      NEW IPSWICH       NH
PLAINFIELD ELEMENTARY SCHOOL      PLAINFIELD       NH
JAMES MASTRICOLA ELEMENTARY SCHOOL      MERRIMACK       NH
STRAFFORD COUNTY HEAD START - ROCHESTER CENTER      ROCHESTER       NH
WHITE MOUNTAINS REGIONAL HIGH SCHOOL      WHITEFIELD       NH
TOLLHOUSE PRESCHOOL      MERRIMACK       NH
IMAGINATIONS...A CHILD'S PLACE      MOULTONBOROUGH       NH
TRINITY HIGH SCHOOL      MANCHESTER       NH
TUFTONBORO CENTRAL SCHOOL      TUFTONBORO       NH
GREENFIELD ELEMENTARY SCHOOL      GREENFIELD       NH
NEWFOUND MEMORIAL MIDDLE SCHOOL      BRISTOL       NH
CIRCLE CHILD CARE      EPSOM       NH
KEENE STATE COLLEGE CHILD DEVELOPMENT CENTER      KEENE       NH
NEWMARKET JR.-SR. HIGH SCHOOL      NEWMARKET       NH
THE TREEHOUSE SCHOOL OF PORTSMOUTH      PORTSMOUTH       NH
CARPENTER ELEMENTARY SCHOOL      WOLFEBORO       NH
HIGH MOWING SCHOOL - PINE HILL      WILTON       NH
SLAVIN'S  HAVEN      SUNAPEE       NH
PLAY LAUGH N' GROW - CHESTER      CHESTER       NH
BOSCAWEN ELEMENTARY SCHOOL      BOSCAWEN       NH
ATKINSON ACADEMY      ATKINSON       NH
ANDOVER ELEMENTARY SCHOOL      ANDOVER       NH
THORNTONS FERRY SCHOOL      MERRIMACK       NH
FRANKLIN MIDDLE SCHOOL      FRANKLIN       NH
2ND NATURE ACADEMY/NATURE OF THINGS      NASHUA       NH
BEECH STREET SCHOOL      MANCHESTER       NH
TRINITY EARLY LEARNING CENTER      BEDFORD       NH
RSEC (REG SVCES & EDUC CTR) - LONGVIEW      DEERFIELD       NH
CARDINAL LACROIX ACADEMY      MANCHESTER       NH
MIDDLE SCHOOL AT PARKSIDE      MANCHESTER       NH
KAREN'S FAMILY DAY CARE      HUDSON       NH
THE GRAPEVINE'S BEFORE & AFTER SCHOOL CLUBS (BASC)      ANTRIM       NH
DAY BY DAY CHILD CARE CENTER      BERLIN       NH
THE WOODSIDE SCHOOL      CONCORD       NH
M AND C CHILDREN'S LEARNING PLACE      CANDIA       NH
ABOVE AND BEYOND CHILD CARE      HOOKSETT       NH
NFI NORTH - DAVENPORT SCHOOL      JEFFERSON       NH
TRINITY CHRISTIAN SCHOOL      KEENE       NH
KIDS BY THE COMMON      LONDONDERRY       NH
LITTLE SPROUTS - MERRIMACK      MERRIMACK       NH
KID'S CREATIVE COVE LEARNING CENTER AND CHILD CARE      MERRIMACK       NH
ROCHESTER MIDDLE SCHOOL      ROCHESTER       NH
VAUGHAN LEARNING CENTER      CONWAY       NH
MARY A. FISK ELEMENTARY SCHOOL      SALEM       NH
PICARD'S FAMILY DAY CARE      CLAREMONT       NH
NHTI CHILD & FAMILY DEVELOPMENT CENTER      CONCORD       NH
BICENTENNIAL ELEMENTARY SCHOOL      NASHUA       NH
SOUTH LONDONDERRY ELEMENTARY SCHOOL      LONDONDERRY       NH
SOUTHERN NEW HAMPSHIRE SERVICES EARLY HEAD START - NASHUA      NASHUA       NH
KELLOGG CHRISTIAN LEARNING CENTER      BEDFORD       NH
GRANITE STATE ARTS ACADEMY CHARTER SCHOOL      SALEM       NH
KINDERCARE LEARNING CENTER      NASHUA       NH
COUNTRY KIDS LEARNING CENTER      NORTHUMBERLAND       NH
MOUNT PROSPECT ACADEMY      PLYMOUTH       NH
SALISBURY ELEMENTARY SCHOOL      SALISBURY       NH
CUTLER SCHOOL      SWANZEY       NH
RED OAK MONTESSORI SCHOOL      FRANKLIN       NH
MOULTONBOROUGH LEARNING CENTER      MOULTONBOROUGH       NH
SOUTHERN NH SERVICES - ROSE BYRNE HEAD START      MANCHESTER       NH
SCHOOL STREET SCHOOL      ROCHESTER       NH
ALPHA-BITS LEARNING CENTER II      MANCHESTER       NH
HAMPSTEAD CENTRAL SCHOOL      HAMPSTEAD       NH
NEW HAMPTON SCHOOL      NEW HAMPTON       NH
SMALL WONDERS CHILD CARE      LISBON       NH
MOHARIMET SCHOOL      MADBURY       NH
GIRLS INCORPORATED OF NEW HAMPSHIRE, MANCHESTER DIVISION      MANCHESTER       NH
HOLY ANGELS PRESCHOOL AND KINDERGARTEN      PLAISTOW       NH
NORTHWOOD ELEMENTARY SCHOOL      NORTHWOOD       NH
TENDER YEARS CHILD CARE AND  LEARNING CENTER      ALLENSTOWN       NH
TINY TURTLES CHILD CARE      LITCHFIELD       NH
NEWMARKET ELEMENTARY SCHOOL      NEWMARKET       NH
THORNTON CENTRAL SCHOOL      THORNTON       NH
THE WORLD OF DISCOVERY      MANCHESTER       NH
WALPOLE VILLAGE SCHOOL      WALPOLE       NH
HOPKINTON HIGH SCHOOL      HOPKINTON       NH
LISBON REGIONAL SCHOOL (ELEM)      LISBON       NH
DUBLIN CHRISTIAN ACADEMY      DUBLIN       NH
THE COMMUNITY SCHOOL      TAMWORTH       NH
EAST SIDE LEARNING CENTER      CONCORD       NH
STEP AHEAD LEARNING CENTER      CONCORD       NH
LAMPREY RIVER ELEMENTARY SCHOOL      RAYMOND       NH
LEAF CHARTER SCHOOL      ALSTEAD       NH
KIDSVIEW ACADEMY PRESCHOOL & DAYCARE      ENFIELD       NH
NASHUA HIGH SCHOOL SOUTH      NASHUA       NH
THE MONTESSORI CHILDREN'S SCHOOL IN HANOVER      HANOVER       NH
ST. JOHN REGIONAL SCHOOL      CONCORD       NH
THE WORKS AFTER SCHOOL      SOMERSWORTH       NH
MOUNTAIN VILLAGE CHARTER SCHOOL      PLYMOUTH       NH
GREEN SPROUTS      WINDHAM       NH
FRANKLIN HIGH SCHOOL      FRANKLIN       NH
KIDS WITH SPIRIT      SALISBURY       NH
LITTLE PILGRIM SCHOOL      NASHUA       NH
NASHUA ADULT LEARNING CENTER - MASTRICOLA UPPER ELEMENTARY      NASHUA       NH
CASA DEI BAMBINI CHILDREN'S CENTER      BOW       NH
OSSIPEE AREA HEAD START (MASONIC TEMPLE)      OSSIPEE       NH
HILLSIDE ELEMENTARY SCHOOL      BERLIN       NH
SOUTH MEADOW SCHOOL      PETERBOROUGH       NH
FRANKLIN HEAD START      CONCORD       NH
SALVE REGINA ACADEMY      GORHAM       NH
ST. THOMAS AQUINAS      DERRY       NH
CALENDULA GARDEN CHILDREN'S CENTER      GILSUM       NH
KINDERCARE LEARNING CENTER      BEDFORD       NH
ST. PAUL'S SCHOOL      CONCORD       NH
SOUTHWESTERN COMMUNITY SERVICES - KEENE HEAD START      KEENE       NH
WHEELOCK ELEMENTARY SCHOOL      KEENE       NH
ALSTEAD PRIMARY SCHOOL      ALSTEAD       NH
GILFORD ELEMENTARY SCHOOL      GILFORD       NH
DUBLIN COMMUNITY PRESCHOOL AND CHILD CARE CENTER      DUBLIN       NH
HILLSBORO-DEERING HIGH SCHOOL      HILLSBOROUGH       NH
LOUDON ELEMENTARY SCHOOL      LOUDON       NH
JUST LIKE HOME CHILD CARE      MANCHESTER       NH
DANBURY ELEMENTARY SCHOOL      DANBURY       NH
LEARNING WITH LOVE      WAKEFIELD       NH
PARKER ACADEMY      CONCORD       NH
GRANITE START EARLY LEARNING CENTER      NASHUA       NH
ELLIOT CHILD CARE CENTER      MANCHESTER       NH
BOYS & GIRLS CLUB OF CENTRAL NEW HAMPSHIRE - EASTMAN UNIT      CONCORD       NH
INTER-LAKES DAY CARE CENTER AND NURSERY SCHOOL      MEREDITH       NH
